source	target	prediction
francis dances <eos>	dance ( francis ) <eos>	dance ( francis ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
eliza sings <eos>	sing ( eliza ) <eos>	sing ( eliza ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
eliza runs <eos>	run ( eliza ) <eos>	run ( eliza ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
eliza eats <eos>	eat ( eliza ) <eos>	eat ( eliza ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
bob slumbers <eos>	slumber ( bob ) <eos>	slumber ( bob ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
margaret runs <eos>	run ( margaret ) <eos>	run ( margaret ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
katherine flies <eos>	fly ( katherine ) <eos>	fly ( katherine ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
henry slumbers <eos>	slumber ( henry ) <eos>	slumber ( henry ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
henry walks <eos>	walk ( henry ) <eos>	walk ( henry ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
grace sleeps <eos>	sleep ( grace ) <eos>	sleep ( grace ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
victor dances <eos>	dance ( victor ) <eos>	dance ( victor ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
victor sings <eos>	sing ( victor ) <eos>	sing ( victor ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
rachael flies <eos>	fly ( rachael ) <eos>	fly ( rachael ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
quinn walks <eos>	walk ( quinn ) <eos>	walk ( quinn ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
oswald runs <eos>	run ( oswald ) <eos>	run ( oswald ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
yvette flies <eos>	fly ( yvettte ) <eos>	fly ( yvettte ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
yvette sleeps <eos>	sleep ( yvettte ) <eos>	sleep ( yvettte ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
xerxes walks <eos>	walk ( xerxes ) <eos>	walk ( xerxes ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
winnifred sings <eos>	sing ( winnifred ) <eos>	sing ( winnifred ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
victor slumbers <eos>	slumber ( victor ) <eos>	slumber ( victor ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice meets katherine <eos>	meet ( alice , katherine ) <eos>	meet ( alice , katherine ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice sees tracy <eos>	see ( alice , tracy ) <eos>	see ( alice , tracy ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice sees neha <eos>	see ( alice , neha ) <eos>	see ( alice , neha ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice sees margaret <eos>	see ( alice , margaret ) <eos>	see ( alice , margaret ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice sees alice <eos>	see ( alice , alice ) <eos>	see ( alice , alice ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice likes winnifred <eos>	like ( alice , winnifred ) <eos>	like ( alice , winnifred ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice likes margaret <eos>	like ( alice , margaret ) <eos>	like ( alice , margaret ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice meets victor <eos>	meet ( alice , victor ) <eos>	meet ( alice , victor ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice meets quinn <eos>	meet ( alice , quinn ) <eos>	meet ( alice , quinn ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice meets patricia <eos>	meet ( alice , patricia ) <eos>	meet ( alice , patricia ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice throws yvette <eos>	throw ( alice , yvettte ) <eos>	throw ( alice , yvettte ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice throws tracy <eos>	throw ( alice , tracy ) <eos>	throw ( alice , tracy ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice throws margaret <eos>	throw ( alice , margaret ) <eos>	throw ( alice , margaret ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice dislikes tracy <eos>	dislike ( alice , tracy ) <eos>	dislike ( alice , tracy ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice dislikes margaret <eos>	dislike ( alice , margaret ) <eos>	dislike ( alice , margaret ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice knows claire <eos>	know ( alice , claire ) <eos>	know ( alice , claire ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice knows bob <eos>	know ( alice , bob ) <eos>	know ( alice , bob ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice notices oswald <eos>	notice ( alice , oswald ) <eos>	notice ( alice , oswald ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice notices francis <eos>	notice ( alice , francis ) <eos>	notice ( alice , francis ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice notices claire <eos>	notice ( alice , claire ) <eos>	notice ( alice , claire ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice knows john <eos>	know ( alice , john ) <eos>	know ( alice , john ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice knows isla <eos>	know ( alice , isla ) <eos>	know ( alice , isla ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice knows henry <eos>	know ( alice , henry ) <eos>	know ( alice , henry ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice knows francis <eos>	know ( alice , francis ) <eos>	know ( alice , francis ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice knows eliza <eos>	know ( alice , eliza ) <eos>	know ( alice , eliza ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice likes herself <eos>	like ( alice , alice ) <eos>	like ( alice , alice ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice meets herself <eos>	meet ( alice , alice ) <eos>	meet ( alice , alice ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice sees herself <eos>	see ( alice , alice ) <eos>	see ( alice , alice ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice knows zelda <eos>	know ( alice , zelda ) <eos>	know ( alice , zelda ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice knows patricia <eos>	know ( alice , patricia ) <eos>	know ( alice , patricia ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
bob sees quinn <eos>	see ( bob , quinn ) <eos>	see ( bob , quinn ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice knows herself <eos>	know ( alice , alice ) <eos>	know ( alice , alice ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice notices herself <eos>	notice ( alice , alice ) <eos>	notice ( alice , alice ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice throws herself <eos>	throw ( alice , alice ) <eos>	throw ( alice , alice ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
alice dislikes herself <eos>	dislike ( alice , alice ) <eos>	dislike ( alice , alice ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
bob meets ursula <eos>	meet ( bob , ursula ) <eos>	meet ( bob , ursula ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
bob meets isla <eos>	meet ( bob , isla ) <eos>	meet ( bob , isla ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
bob meets bob <eos>	meet ( bob , bob ) <eos>	meet ( bob , bob ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
bob sees yvette <eos>	see ( bob , yvettte ) <eos>	see ( bob , yvettte ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
bob sees ursula <eos>	see ( bob , ursula ) <eos>	see ( bob , ursula ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
bob throws claire <eos>	throw ( bob , claire ) <eos>	throw ( bob , claire ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
bob dislikes margaret <eos>	dislike ( bob , margaret ) <eos>	dislike ( bob , margaret ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
bob likes winnifred <eos>	like ( bob , winnifred ) <eos>	like ( bob , winnifred ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
bob likes margaret <eos>	like ( bob , margaret ) <eos>	like ( bob , margaret ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
bob likes katherine <eos>	like ( bob , katherine ) <eos>	like ( bob , katherine ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
bob notices lewis <eos>	notice ( bob , lewis ) <eos>	notice ( bob , lewis ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
bob notices john <eos>	notice ( bob , john ) <eos>	notice ( bob , john ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
bob throws victor <eos>	throw ( bob , victor ) <eos>	throw ( bob , victor ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
bob throws quinn <eos>	throw ( bob , quinn ) <eos>	throw ( bob , quinn ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
bob throws oswald <eos>	throw ( bob , oswald ) <eos>	throw ( bob , oswald ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
claire sees xerxes <eos>	see ( claire , xerxes ) <eos>	see ( claire , xerxes ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
claire sees isla <eos>	see ( claire , isla ) <eos>	see ( claire , isla ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
claire sees grace <eos>	see ( claire , grace ) <eos>	see ( claire , grace ) <eos> walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk walk
