source	target	prediction
alice notices xerxes <eos>	notice ( alice , xerxes ) <eos>	notice ( xerxes , xerxes ) <eos>
alice notices patricia <eos>	notice ( alice , patricia ) <eos>	notice ( patricia , patricia ) <eos>
alice notices rachael <eos>	notice ( alice , rachael ) <eos>	notice ( rachael , rachael ) <eos>
alice dislikes francis <eos>	dislike ( alice , francis ) <eos>	dislike ( francis , francis ) <eos>
alice knows daniel <eos>	know ( alice , daniel ) <eos>	know ( daniel , daniel ) <eos>
alice dislikes isla <eos>	dislike ( alice , isla ) <eos>	dislike ( isla , isla ) <eos>
alice meets margaret <eos>	meet ( alice , margaret ) <eos>	meet ( margaret , margaret ) <eos>
alice knows bob <eos>	know ( alice , bob ) <eos>	know ( bob , bob ) <eos>
alice sees rachael <eos>	see ( alice , rachael ) <eos>	see ( rachael , rachael ) <eos>
alice likes rachael <eos>	like ( alice , rachael ) <eos>	like ( rachael , rachael ) <eos>
alice knows lewis <eos>	know ( alice , lewis ) <eos>	know ( lewis , lewis ) <eos>
alice meets zelda <eos>	meet ( alice , zelda ) <eos>	meet ( zelda , zelda ) <eos>
alice sees victor <eos>	see ( alice , victor ) <eos>	see ( victor , victor ) <eos>
alice dislikes rachael <eos>	dislike ( alice , rachael ) <eos>	dislike ( rachael , rachael ) <eos>
alice throws bob <eos>	throw ( alice , bob ) <eos>	throw ( bob , bob ) <eos>
alice dislikes patricia <eos>	dislike ( alice , patricia ) <eos>	dislike ( patricia , patricia ) <eos>
alice meets bob <eos>	meet ( alice , bob ) <eos>	meet ( bob , bob ) <eos>
alice knows ursula <eos>	know ( alice , ursula ) <eos>	know ( ursula , ursula ) <eos>
alice knows patricia <eos>	know ( alice , patricia ) <eos>	know ( patricia , patricia ) <eos>
alice sees henry <eos>	see ( alice , henry ) <eos>	see ( henry , henry ) <eos>
alice notices isla <eos>	notice ( alice , isla ) <eos>	notice ( isla , isla ) <eos>
alice throws victor <eos>	throw ( alice , victor ) <eos>	throw ( victor , victor ) <eos>
alice dislikes grace <eos>	dislike ( alice , grace ) <eos>	dislike ( grace , grace ) <eos>
alice meets claire <eos>	meet ( alice , claire ) <eos>	meet ( claire , claire ) <eos>
alice dislikes lewis <eos>	dislike ( alice , lewis ) <eos>	dislike ( lewis , lewis ) <eos>
alice likes lewis <eos>	like ( alice , lewis ) <eos>	like ( lewis , lewis ) <eos>
alice sees quinn <eos>	see ( alice , quinn ) <eos>	see ( quinn , quinn ) <eos>
alice likes francis <eos>	like ( alice , francis ) <eos>	like ( francis , francis ) <eos>
alice notices lewis <eos>	notice ( alice , lewis ) <eos>	notice ( lewis , lewis ) <eos>
alice dislikes bob <eos>	dislike ( alice , bob ) <eos>	dislike ( bob , bob ) <eos>
alice throws daniel <eos>	throw ( alice , daniel ) <eos>	throw ( daniel , daniel ) <eos>
alice throws ursula <eos>	throw ( alice , ursula ) <eos>	throw ( ursula , ursula ) <eos>
alice meets katherine <eos>	meet ( alice , katherine ) <eos>	meet ( katherine , katherine ) <eos>
alice likes ursula <eos>	like ( alice , ursula ) <eos>	like ( ursula , ursula ) <eos>
alice throws isla <eos>	throw ( alice , isla ) <eos>	throw ( isla , isla ) <eos>
alice meets grace <eos>	meet ( alice , grace ) <eos>	meet ( grace , grace ) <eos>
alice dislikes oswald <eos>	dislike ( alice , oswald ) <eos>	dislike ( oswald , oswald ) <eos>
alice notices katherine <eos>	notice ( alice , katherine ) <eos>	notice ( katherine , katherine ) <eos>
alice throws katherine <eos>	throw ( alice , katherine ) <eos>	throw ( katherine , katherine ) <eos>
alice likes tracy <eos>	like ( alice , tracy ) <eos>	like ( tracy , tracy ) <eos>
alice notices ursula <eos>	notice ( alice , ursula ) <eos>	notice ( ursula , ursula ) <eos>
alice notices oswald <eos>	notice ( alice , oswald ) <eos>	notice ( oswald , oswald ) <eos>
alice dislikes claire <eos>	dislike ( alice , claire ) <eos>	dislike ( claire , claire ) <eos>
alice knows henry <eos>	know ( alice , henry ) <eos>	know ( henry , henry ) <eos>
alice dislikes ursula <eos>	dislike ( alice , ursula ) <eos>	dislike ( ursula , ursula ) <eos>
alice meets francis <eos>	meet ( alice , francis ) <eos>	meet ( francis , francis ) <eos>
alice knows grace <eos>	know ( alice , grace ) <eos>	know ( grace , grace ) <eos>
alice sees john <eos>	see ( alice , john ) <eos>	see ( john , john ) <eos>
alice knows winnifred <eos>	know ( alice , winnifred ) <eos>	know ( winnifred , winnifred ) <eos>
alice knows claire <eos>	know ( alice , claire ) <eos>	know ( claire , claire ) <eos>
alice likes patricia <eos>	like ( alice , patricia ) <eos>	like ( patricia , patricia ) <eos>
alice throws yvette <eos>	throw ( alice , yvettte ) <eos>	throw ( yvettte , yvettte ) <eos>
alice knows herself <eos>	know ( alice , alice ) <eos>	know ( quinn , alice ) <eos>
alice sees lewis <eos>	see ( alice , lewis ) <eos>	see ( lewis , lewis ) <eos>
