source	target	prediction
tracy knows alice <eos>	know ( tracy , alice ) <eos>	know ( tracy , tracy ) <eos>
isla likes alice <eos>	like ( isla , alice ) <eos>	like ( isla , isla ) <eos>
ursula throws alice <eos>	throw ( ursula , alice ) <eos>	throw ( ursula , margaret ) <eos>
isla knows alice <eos>	know ( isla , alice ) <eos>	know ( isla , isla ) <eos>
eliza notices alice <eos>	notice ( eliza , alice ) <eos>	notice ( eliza , isla ) <eos>
victor knows alice <eos>	know ( victor , alice ) <eos>	know ( victor , tracy ) <eos>
ursula knows alice <eos>	know ( ursula , alice ) <eos>	know ( ursula , margaret ) <eos>
victor meets alice <eos>	meet ( victor , alice ) <eos>	meet ( alice , victor ) <eos>
john throws alice <eos>	throw ( john , alice ) <eos>	throw ( john , margaret ) <eos>
yvette likes alice <eos>	like ( yvettte , alice ) <eos>	like ( yvettte , yvettte ) <eos>
yvette sees alice <eos>	see ( yvettte , alice ) <eos>	see ( yvettte , yvettte ) <eos>
eliza meets alice <eos>	meet ( eliza , alice ) <eos>	meet ( eliza , margaret ) <eos>
john likes alice <eos>	like ( john , alice ) <eos>	like ( john , isla ) <eos>
francis sees alice <eos>	see ( francis , alice ) <eos>	see ( francis , francis ) <eos>
grace throws alice <eos>	throw ( grace , alice ) <eos>	throw ( grace , margaret ) <eos>
quinn knows alice <eos>	know ( quinn , alice ) <eos>	know ( quinn , tracy ) <eos>
john dislikes alice <eos>	dislike ( john , alice ) <eos>	dislike ( john , margaret ) <eos>
samuel notices alice <eos>	notice ( samuel , alice ) <eos>	notice ( victor , samuel ) <eos>
xerxes dislikes alice <eos>	dislike ( xerxes , alice ) <eos>	dislike ( xerxes , xerxes ) <eos>
xerxes likes alice <eos>	like ( xerxes , alice ) <eos>	like ( xerxes , yvettte ) <eos>
quinn meets alice <eos>	meet ( quinn , alice ) <eos>	meet ( quinn , tracy ) <eos>
oswald likes alice <eos>	like ( oswald , alice ) <eos>	like ( oswald , tracy ) <eos>
alice meets alice <eos>	meet ( alice , alice ) <eos>	meet ( alice , margaret ) <eos>
winnifred throws alice <eos>	throw ( winnifred , alice ) <eos>	throw ( winnifred , margaret ) <eos>
ursula meets alice <eos>	meet ( ursula , alice ) <eos>	meet ( ursula , margaret ) <eos>
katherine knows alice <eos>	know ( katherine , alice ) <eos>	know ( katherine , margaret ) <eos>
lewis knows alice <eos>	know ( lewis , alice ) <eos>	know ( lewis , lewis ) <eos>
john sees alice <eos>	see ( john , alice ) <eos>	see ( john , john ) <eos>
daniel likes alice <eos>	like ( daniel , alice ) <eos>	like ( daniel , margaret ) <eos>
