source	target	prediction
alice notices john <eos>	notice ( alice , john ) <eos>	notice ( john , john ) <eos>
alice throws neha <eos>	throw ( alice , neha ) <eos>	throw ( quinn , alice ) <eos>
alice likes alice <eos>	like ( alice , alice ) <eos>	like ( alice , alice ) <eos>
alice knows victor <eos>	know ( alice , victor ) <eos>	know ( victor , alice ) <eos>
alice sees alice <eos>	see ( alice , alice ) <eos>	see ( alice alice alice alice alice ) <eos>
alice meets grace <eos>	meet ( alice , grace ) <eos>	meet ( grace , grace ) <eos>
alice notices quinn <eos>	notice ( alice , quinn ) <eos>	notice ( quinn , quinn ) <eos>
alice sees tracy <eos>	see ( alice , tracy ) <eos>	see ( tracy , alice ) <eos>
alice likes isla <eos>	like ( alice , isla ) <eos>	like ( isla , isla ) <eos>
alice dislikes yvette <eos>	dislike ( alice , yvettte ) <eos>	dislike ( yvettte , yvettte ) <eos>
alice meets alice <eos>	meet ( alice , alice ) <eos>	meet ( alice , alice ) <eos>
alice dislikes grace <eos>	dislike ( alice , grace ) <eos>	dislike ( grace , grace ) <eos>
alice notices oswald <eos>	notice ( alice , oswald ) <eos>	notice ( oswald , oswald ) <eos>
alice throws claire <eos>	throw ( alice , claire ) <eos>	throw ( claire , claire ) <eos>
alice likes oswald <eos>	like ( alice , oswald ) <eos>	like ( daniel , oswald ) <eos>
alice meets patricia <eos>	meet ( alice , patricia ) <eos>	meet ( patricia , patricia ) <eos>
alice throws grace <eos>	throw ( alice , grace ) <eos>	throw ( claire , alice ) <eos>
alice throws winnifred <eos>	throw ( alice , winnifred ) <eos>	throw ( winnifred , winnifred ) <eos>
alice sees henry <eos>	see ( alice , henry ) <eos>	see ( henry , alice ) <eos>
alice knows henry <eos>	know ( alice , henry ) <eos>	know ( henry , alice ) <eos>
alice likes herself <eos>	like ( alice , alice ) <eos>	like ( claire , alice ) <eos>
alice likes yvette <eos>	like ( alice , yvettte ) <eos>	like ( yvettte , yvettte ) <eos>
alice throws eliza <eos>	throw ( alice , eliza ) <eos>	throw ( lewis , alice ) <eos>
alice notices rachael <eos>	notice ( alice , rachael ) <eos>	notice ( rachael , rachael ) <eos>
alice knows herself <eos>	know ( alice , alice ) <eos>	know ( patricia , alice ) <eos>
alice likes lewis <eos>	like ( alice , lewis ) <eos>	like ( lewis , lewis ) <eos>
alice likes henry <eos>	like ( alice , henry ) <eos>	like ( claire , henry ) <eos>
alice sees ursula <eos>	see ( alice , ursula ) <eos>	see ( ursula , alice ) <eos>
alice meets katherine <eos>	meet ( alice , katherine ) <eos>	meet ( katherine , katherine ) <eos>
alice dislikes zelda <eos>	dislike ( alice , zelda ) <eos>	dislike ( zelda , alice ) <eos>
alice throws samuel <eos>	throw ( alice , samuel ) <eos>	throw ( lewis , samuel ) <eos>
alice knows samuel <eos>	know ( alice , samuel ) <eos>	know ( samuel , samuel ) <eos>
alice sees quinn <eos>	see ( alice , quinn ) <eos>	see ( quinn , alice ) <eos>
alice throws zelda <eos>	throw ( alice , zelda ) <eos>	throw ( zelda , zelda ) <eos>
alice likes margaret <eos>	like ( alice , margaret ) <eos>	like ( margaret , margaret ) <eos>
alice notices victor <eos>	notice ( alice , victor ) <eos>	notice ( victor , victor ) <eos>
alice dislikes rachael <eos>	dislike ( alice , rachael ) <eos>	dislike ( rachael , rachael ) <eos>
alice throws tracy <eos>	throw ( alice , tracy ) <eos>	throw ( tracy , tracy ) <eos>
alice knows patricia <eos>	know ( alice , patricia ) <eos>	know ( patricia , patricia ) <eos>
alice likes claire <eos>	like ( alice , claire ) <eos>	like ( claire , claire ) <eos>
alice meets daniel <eos>	meet ( alice , daniel ) <eos>	meet ( daniel , daniel ) <eos>
alice meets henry <eos>	meet ( alice , henry ) <eos>	meet ( henry , alice ) <eos>
alice knows margaret <eos>	know ( alice , margaret ) <eos>	know ( margaret , margaret ) <eos>
alice likes francis <eos>	like ( alice , francis ) <eos>	like ( claire , samuel ) <eos>
alice dislikes henry <eos>	dislike ( alice , henry ) <eos>	dislike ( henry , alice ) <eos>
alice throws bob <eos>	throw ( alice , bob ) <eos>	throw ( bob , bob ) <eos>
alice knows yvette <eos>	know ( alice , yvettte ) <eos>	know ( yvettte , yvettte ) <eos>
alice throws rachael <eos>	throw ( alice , rachael ) <eos>	throw ( rachael , rachael ) <eos>
alice sees samuel <eos>	see ( alice , samuel ) <eos>	see ( samuel , alice ) <eos>
alice sees grace <eos>	see ( alice , grace ) <eos>	see ( grace , alice ) <eos>
alice walks <eos>	walk ( alice ) <eos>	walk ( alice ) <eos>
alice runs <eos>	run ( alice ) <eos>	run ( patricia ) <eos>
alice eats <eos>	eat ( alice ) <eos>	eat ( alice ) <eos>
alice slumbers <eos>	slumber ( alice ) <eos>	slumber ( patricia ) <eos>
alice sleeps <eos>	sleep ( alice ) <eos>	sleep ( claire ) <eos>
alice throws francis <eos>	throw ( alice , francis ) <eos>	throw ( alice , alice ) <eos>
alice notices lewis <eos>	notice ( alice , lewis ) <eos>	notice ( lewis , lewis ) <eos>
alice sees bob <eos>	see ( alice , bob ) <eos>	see ( bob , alice ) <eos>
alice knows rachael <eos>	know ( alice , rachael ) <eos>	know ( rachael , rachael ) <eos>
alice knows claire <eos>	know ( alice , claire ) <eos>	know ( claire , claire ) <eos>
alice knows eliza <eos>	know ( alice , eliza ) <eos>	know ( eliza , eliza ) <eos>
alice sees oswald <eos>	see ( alice , oswald ) <eos>	see ( alice , alice ) <eos>
alice dislikes isla <eos>	dislike ( alice , isla ) <eos>	dislike ( isla , isla ) <eos>
alice meets herself <eos>	meet ( alice , alice ) <eos>	meet ( patricia , alice ) <eos>
alice likes eliza <eos>	like ( alice , eliza ) <eos>	like ( eliza , eliza ) <eos>
alice throws yvette <eos>	throw ( alice , yvettte ) <eos>	throw ( yvettte , yvettte ) <eos>
alice throws xerxes <eos>	throw ( alice , xerxes ) <eos>	throw ( xerxes , xerxes ) <eos>
alice meets lewis <eos>	meet ( alice , lewis ) <eos>	meet ( lewis , lewis ) <eos>
alice dislikes claire <eos>	dislike ( alice , claire ) <eos>	dislike ( claire , claire ) <eos>
alice notices patricia <eos>	notice ( alice , patricia ) <eos>	notice ( patricia , patricia ) <eos>
alice dislikes samuel <eos>	dislike ( alice , samuel ) <eos>	dislike ( samuel , samuel ) <eos>
alice throws ursula <eos>	throw ( alice , ursula ) <eos>	throw ( ursula , ursula ) <eos>
alice likes samuel <eos>	like ( alice , samuel ) <eos>	like ( samuel , samuel ) <eos>
