source	target	prediction
alice knows winnifred <eos>	know ( alice , winnifred ) <eos>	know ( winnifred , winnifred ) <eos>
alice likes katherine <eos>	like ( alice , katherine ) <eos>	like ( katherine , katherine ) <eos>
alice notices grace <eos>	notice ( alice , grace ) <eos>	notice ( grace , grace ) <eos>
alice likes neha <eos>	like ( alice , neha ) <eos>	like ( neha , neha ) <eos>
alice sees lewis <eos>	see ( alice , lewis ) <eos>	see ( samuel , lewis ) <eos>
alice throws neha <eos>	throw ( alice , neha ) <eos>	throw ( neha , neha ) <eos>
alice knows margaret <eos>	know ( alice , margaret ) <eos>	know ( samuel , margaret ) <eos>
alice sees eliza <eos>	see ( alice , eliza ) <eos>	see ( samuel , eliza ) <eos>
alice notices oswald <eos>	notice ( alice , oswald ) <eos>	notice ( oswald , oswald ) <eos>
alice notices xerxes <eos>	notice ( alice , xerxes ) <eos>	notice ( xerxes , xerxes ) <eos>
alice notices john <eos>	notice ( alice , john ) <eos>	notice ( john , john ) <eos>
alice sees oswald <eos>	see ( alice , oswald ) <eos>	see ( grace , oswald ) <eos>
alice likes bob <eos>	like ( alice , bob ) <eos>	like ( bob , bob ) <eos>
alice dislikes bob <eos>	dislike ( alice , bob ) <eos>	dislike ( bob , bob ) <eos>
alice sees katherine <eos>	see ( alice , katherine ) <eos>	see ( samuel , katherine ) <eos>
alice likes eliza <eos>	like ( alice , eliza ) <eos>	like ( neha , eliza ) <eos>
alice notices margaret <eos>	notice ( alice , margaret ) <eos>	notice ( margaret , margaret ) <eos>
alice meets zelda <eos>	meet ( alice , zelda ) <eos>	meet ( zelda , zelda ) <eos>
alice dislikes herself <eos>	dislike ( alice , alice ) <eos>	dislike ( zelda , grace ) <eos>
alice meets victor <eos>	meet ( alice , victor ) <eos>	meet ( victor , victor ) <eos>
alice meets bob <eos>	meet ( alice , bob ) <eos>	meet ( bob , bob ) <eos>
alice throws claire <eos>	throw ( alice , claire ) <eos>	throw ( claire , claire ) <eos>
alice dislikes alice <eos>	dislike ( alice , alice ) <eos>	dislike ( tracy , alice ) <eos>
alice meets herself <eos>	meet ( alice , alice ) <eos>	meet ( isla , grace ) <eos>
alice dislikes eliza <eos>	dislike ( alice , eliza ) <eos>	dislike ( samuel , eliza ) <eos>
