source	target	prediction
zelda throws alice <eos>	throw ( zelda , alice ) <eos>	throw ( alice , zelda ) <eos>
john throws alice <eos>	throw ( john , alice ) <eos>	throw ( alice , john ) <eos>
zelda knows alice <eos>	know ( zelda , alice ) <eos>	know ( alice , zelda ) <eos>
margaret notices alice <eos>	notice ( margaret , alice ) <eos>	notice ( alice , margaret ) <eos>
claire likes alice <eos>	like ( claire , alice ) <eos>	like ( alice , claire ) <eos>
ursula knows alice <eos>	know ( ursula , alice ) <eos>	know ( alice , ursula ) <eos>
john likes alice <eos>	like ( john , alice ) <eos>	like ( alice , john ) <eos>
grace notices alice <eos>	notice ( grace , alice ) <eos>	notice ( alice , grace ) <eos>
tracy throws alice <eos>	throw ( tracy , alice ) <eos>	throw ( alice , tracy ) <eos>
bob likes alice <eos>	like ( bob , alice ) <eos>	like ( alice , bob ) <eos>
margaret throws alice <eos>	throw ( margaret , alice ) <eos>	throw ( alice , margaret ) <eos>
john dislikes alice <eos>	dislike ( john , alice ) <eos>	dislike ( alice , john ) <eos>
grace knows alice <eos>	know ( grace , alice ) <eos>	know ( alice , grace ) <eos>
henry likes alice <eos>	like ( henry , alice ) <eos>	like ( alice , henry ) <eos>
tracy likes alice <eos>	like ( tracy , alice ) <eos>	like ( alice , tracy ) <eos>
samuel dislikes alice <eos>	dislike ( samuel , alice ) <eos>	dislike ( alice , samuel ) <eos>
oswald notices alice <eos>	notice ( oswald , alice ) <eos>	notice ( alice , oswald ) <eos>
winnifred dislikes alice <eos>	dislike ( winnifred , alice ) <eos>	dislike ( winnifred , alice ) <eos>
alice likes alice <eos>	like ( alice , alice ) <eos>	like ( alice , alice ) <eos>
patricia throws alice <eos>	throw ( patricia , alice ) <eos>	throw ( alice , patricia ) <eos>
grace likes alice <eos>	like ( grace , alice ) <eos>	like ( alice , grace ) <eos>
claire notices alice <eos>	notice ( claire , alice ) <eos>	notice ( alice , claire ) <eos>
quinn meets alice <eos>	meet ( quinn , alice ) <eos>	meet ( alice , quinn ) <eos>
john meets alice <eos>	meet ( john , alice ) <eos>	meet ( alice , john ) <eos>
victor throws alice <eos>	throw ( victor , alice ) <eos>	throw ( victor , victor ) <eos>
quinn throws alice <eos>	throw ( quinn , alice ) <eos>	throw ( alice , quinn ) <eos>
francis likes alice <eos>	like ( francis , alice ) <eos>	like ( alice , francis ) <eos>
zelda sees alice <eos>	see ( zelda , alice ) <eos>	see ( alice , zelda ) <eos>
quinn knows alice <eos>	know ( quinn , alice ) <eos>	know ( alice , quinn ) <eos>
tracy knows alice <eos>	know ( tracy , alice ) <eos>	know ( alice , tracy ) <eos>
oswald dislikes alice <eos>	dislike ( oswald , alice ) <eos>	dislike ( alice , oswald ) <eos>
victor sees alice <eos>	see ( victor , alice ) <eos>	see ( victor , victor ) <eos>
francis meets alice <eos>	meet ( francis , alice ) <eos>	meet ( alice , francis ) <eos>
margaret likes alice <eos>	like ( margaret , alice ) <eos>	like ( alice , margaret ) <eos>
francis notices alice <eos>	notice ( francis , alice ) <eos>	notice ( alice , francis ) <eos>
katherine likes alice <eos>	like ( katherine , alice ) <eos>	like ( alice , katherine ) <eos>
oswald throws alice <eos>	throw ( oswald , alice ) <eos>	throw ( alice , oswald ) <eos>
isla sees alice <eos>	see ( isla , alice ) <eos>	see ( alice , isla ) <eos>
samuel knows alice <eos>	know ( samuel , alice ) <eos>	know ( alice , samuel ) <eos>
bob dislikes alice <eos>	dislike ( bob , alice ) <eos>	dislike ( alice , bob ) <eos>
bob sees alice <eos>	see ( bob , alice ) <eos>	see ( alice , bob ) <eos>
daniel throws alice <eos>	throw ( daniel , alice ) <eos>	throw ( alice , daniel ) <eos>
tracy notices alice <eos>	notice ( tracy , alice ) <eos>	notice ( alice , tracy ) <eos>
lewis knows alice <eos>	know ( lewis , alice ) <eos>	know ( alice , lewis ) <eos>
neha likes alice <eos>	like ( neha , alice ) <eos>	like ( alice , neha ) <eos>
eliza knows alice <eos>	know ( eliza , alice ) <eos>	know ( alice , eliza ) <eos>
winnifred sees alice <eos>	see ( winnifred , alice ) <eos>	see ( alice , winnifred ) <eos>
eliza notices alice <eos>	notice ( eliza , alice ) <eos>	notice ( alice , eliza ) <eos>
isla throws alice <eos>	throw ( isla , alice ) <eos>	throw ( alice , isla ) <eos>
francis knows alice <eos>	know ( francis , alice ) <eos>	know ( alice , francis ) <eos>
claire sees alice <eos>	see ( claire , alice ) <eos>	see ( alice , claire ) <eos>
lewis likes alice <eos>	like ( lewis , alice ) <eos>	like ( lewis , lewis ) <eos>
patricia knows alice <eos>	know ( patricia , alice ) <eos>	know ( alice , patricia ) <eos>
isla knows alice <eos>	know ( isla , alice ) <eos>	know ( alice , isla ) <eos>
