source	target	prediction
alice likes claire <eos>	like ( alice , claire ) <eos>	like ( claire , alice ) <eos>
alice likes daniel <eos>	like ( alice , daniel ) <eos>	like ( daniel , daniel ) <eos>
alice sees zelda <eos>	see ( alice , zelda ) <eos>	see ( alice , alice ) <eos>
alice notices bob <eos>	notice ( alice , bob ) <eos>	notice ( alice , alice ) <eos>
alice knows victor <eos>	know ( alice , victor ) <eos>	know ( alice , lewis ) <eos>
alice sees yvette <eos>	see ( alice , yvettte ) <eos>	see ( eliza , henry ) <eos>
alice dislikes victor <eos>	dislike ( alice , victor ) <eos>	dislike ( alice , lewis ) <eos>
alice likes lewis <eos>	like ( alice , lewis ) <eos>	like ( lewis , lewis ) <eos>
alice notices daniel <eos>	notice ( alice , daniel ) <eos>	notice ( alice , alice ) <eos>
alice meets alice <eos>	meet ( alice , alice ) <eos>	meet ( rachael , alice ) <eos>
alice meets henry <eos>	meet ( alice , henry ) <eos>	meet ( henry , henry ) <eos>
alice dislikes xerxes <eos>	dislike ( alice , xerxes ) <eos>	dislike ( francis , xerxes ) <eos>
alice meets winnifred <eos>	meet ( alice , winnifred ) <eos>	meet ( alice , winnifred ) <eos>
alice likes winnifred <eos>	like ( alice , winnifred ) <eos>	like ( francis , winnifred ) <eos>
alice notices patricia <eos>	notice ( alice , patricia ) <eos>	notice ( eliza , alice ) <eos>
alice dislikes oswald <eos>	dislike ( alice , oswald ) <eos>	dislike ( alice , isla ) <eos>
alice sees francis <eos>	see ( alice , francis ) <eos>	see ( francis , francis ) <eos>
alice dislikes ursula <eos>	dislike ( alice , ursula ) <eos>	dislike ( yvettte , alice ) <eos>
alice throws oswald <eos>	throw ( alice , oswald ) <eos>	throw ( alice , isla ) <eos>
alice meets rachael <eos>	meet ( alice , rachael ) <eos>	meet ( rachael , rachael ) <eos>
alice throws neha <eos>	throw ( alice , neha ) <eos>	throw ( samuel , alice ) <eos>
alice dislikes alice <eos>	dislike ( alice , alice ) <eos>	dislike ( rachael , alice ) <eos>
alice throws margaret <eos>	throw ( alice , margaret ) <eos>	throw ( alice , grace ) <eos>
alice knows neha <eos>	know ( alice , neha ) <eos>	know ( alice , alice ) <eos>
alice dislikes eliza <eos>	dislike ( alice , eliza ) <eos>	dislike ( alice , eliza ) <eos>
alice likes henry <eos>	like ( alice , henry ) <eos>	like ( henry , henry ) <eos>
alice meets ursula <eos>	meet ( alice , ursula ) <eos>	meet ( eliza , alice ) <eos>
alice knows patricia <eos>	know ( alice , patricia ) <eos>	know ( lewis , alice ) <eos>
alice meets herself <eos>	meet ( alice , alice ) <eos>	meet ( henry , alice ) <eos>
alice knows alice <eos>	know ( alice , alice ) <eos>	know ( alice , alice ) <eos>
alice notices claire <eos>	notice ( alice , claire ) <eos>	notice ( alice , alice ) <eos>
alice meets lewis <eos>	meet ( alice , lewis ) <eos>	meet ( yvettte , lewis ) <eos>
alice knows katherine <eos>	know ( alice , katherine ) <eos>	know ( alice , alice ) <eos>
alice throws xerxes <eos>	throw ( alice , xerxes ) <eos>	throw ( patricia , xerxes ) <eos>
alice knows claire <eos>	know ( alice , claire ) <eos>	know ( rachael , claire ) <eos>
alice throws yvette <eos>	throw ( alice , yvettte ) <eos>	throw ( francis , yvettte ) <eos>
alice dislikes quinn <eos>	dislike ( alice , quinn ) <eos>	dislike ( quinn , quinn ) <eos>
alice meets oswald <eos>	meet ( alice , oswald ) <eos>	meet ( henry , oswald ) <eos>
alice dislikes yvette <eos>	dislike ( alice , yvettte ) <eos>	dislike ( yvettte , yvettte ) <eos>
alice likes oswald <eos>	like ( alice , oswald ) <eos>	like ( alice , isla ) <eos>
alice dislikes john <eos>	dislike ( alice , john ) <eos>	dislike ( eliza , john ) <eos>
alice knows lewis <eos>	know ( alice , lewis ) <eos>	know ( henry , lewis ) <eos>
alice notices isla <eos>	notice ( alice , isla ) <eos>	notice ( alice , alice ) <eos>
alice likes katherine <eos>	like ( alice , katherine ) <eos>	like ( alice , alice ) <eos>
alice knows daniel <eos>	know ( alice , daniel ) <eos>	know ( rachael , daniel ) <eos>
alice knows tracy <eos>	know ( alice , tracy ) <eos>	know ( henry , tracy ) <eos>
alice notices john <eos>	notice ( alice , john ) <eos>	notice ( yvettte , alice ) <eos>
alice sees henry <eos>	see ( alice , henry ) <eos>	see ( lewis , alice ) <eos>
alice knows francis <eos>	know ( alice , francis ) <eos>	know ( rachael , francis ) <eos>
alice notices eliza <eos>	notice ( alice , eliza ) <eos>	notice ( alice , eliza ) <eos>
alice knows zelda <eos>	know ( alice , zelda ) <eos>	know ( alice , alice ) <eos>
alice sees lewis <eos>	see ( alice , lewis ) <eos>	see ( yvettte , lewis ) <eos>
alice throws winnifred <eos>	throw ( alice , winnifred ) <eos>	throw ( alice , alice ) <eos>
alice sees eliza <eos>	see ( alice , eliza ) <eos>	see ( alice , eliza ) <eos>
alice sleeps <eos>	sleep ( alice ) <eos>	sleep ( francis ) <eos>
alice sings <eos>	sing ( alice ) <eos>	sing ( alice ) <eos>
alice walks <eos>	walk ( alice ) <eos>	walk ( alice ) <eos>
alice throws victor <eos>	throw ( alice , victor ) <eos>	throw ( ( , lewis ) <eos>
alice dislikes patricia <eos>	dislike ( alice , patricia ) <eos>	dislike ( patricia , patricia ) <eos>
alice notices oswald <eos>	notice ( alice , oswald ) <eos>	notice ( alice , isla ) <eos>
alice dislikes margaret <eos>	dislike ( alice , margaret ) <eos>	dislike ( francis , margaret ) <eos>
alice dislikes tracy <eos>	dislike ( alice , tracy ) <eos>	dislike ( henry , tracy ) <eos>
alice knows samuel <eos>	know ( alice , samuel ) <eos>	know ( ( , lewis ) <eos>
alice meets neha <eos>	meet ( alice , neha ) <eos>	meet ( alice , alice ) <eos>
alice likes rachael <eos>	like ( alice , rachael ) <eos>	like ( rachael , rachael ) <eos>
alice dislikes rachael <eos>	dislike ( alice , rachael ) <eos>	dislike ( rachael , rachael ) <eos>
alice throws tracy <eos>	throw ( alice , tracy ) <eos>	throw ( tracy , tracy ) <eos>
alice likes victor <eos>	like ( alice , victor ) <eos>	like ( alice , lewis ) <eos>
alice likes zelda <eos>	like ( alice , zelda ) <eos>	like ( alice , alice ) <eos>
alice notices yvette <eos>	notice ( alice , yvettte ) <eos>	notice ( alice , yvettte ) <eos>
alice meets margaret <eos>	meet ( alice , margaret ) <eos>	meet ( alice , grace ) <eos>
alice knows herself <eos>	know ( alice , alice ) <eos>	know ( alice , alice ) <eos>
alice sees isla <eos>	see ( alice , isla ) <eos>	see ( henry , isla ) <eos>
