source	target	prediction
snape must jump <eos>	should may she <eos>	he must <eos> <eos> vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon
swim draco he <eos>	he party must <eos>	he must <eos> <eos> vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon
swim can party <eos>	he pos smile <eos>	he must <eos> <eos> vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon
lily must jump <eos>	walk may she <eos>	he must <eos> <eos> vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon
dobby can he <eos>	albus pos must <eos>	he can run <eos> vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon
she must ginny <eos>	run may lupin <eos>	he must <eos> <eos> vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon
giggle can ron <eos>	wiggle pos jump <eos>	he can <eos> <eos> vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon
she draco ron <eos>	run party jump <eos>	he must <eos> <eos> vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon
fred can smile <eos>	ron pos lily <eos>	he may run <eos> vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon
she can hiccup <eos>	run pos giggle <eos>	he may run <eos> vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon
she run ron <eos>	run can jump <eos>	he must <eos> <eos> vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon
fred must walk <eos>	ron may swim <eos>	he must <eos> <eos> vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon
giggle must jump <eos>	wiggle may she <eos>	he must <eos> <eos> vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon
she can harry <eos>	run pos snape <eos>	he can run <eos> vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon
swim run ron <eos>	he can jump <eos>	he must <eos> <eos> vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon
snape can ron <eos>	should pos jump <eos>	he can run <eos> vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon
snape can jump <eos>	should pos she <eos>	he can run <eos> vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon
she must smile <eos>	run may lily <eos>	he must <eos> <eos> vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon
she run ginny <eos>	run can lupin <eos>	he must <eos> <eos> vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon
fred must walk <eos>	ron may swim <eos>	he must <eos> <eos> vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon
swim run should <eos>	he can laugh <eos>	he can run <eos> vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon
she can he <eos>	run pos must <eos>	he can run <eos> vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon vernon
