source	target	prediction
alice likes samuel <eos>	like ( alice , samuel ) <eos>	alice ( samuel , samuel ) <eos>
alice dislikes yvette <eos>	dislike ( alice , yvettte ) <eos>	dislike ( claire , yvettte ) <eos>
alice likes lewis <eos>	like ( alice , lewis ) <eos>	like ( isla , lewis ) <eos>
alice dislikes victor <eos>	dislike ( alice , victor ) <eos>	dislike ( lewis , victor ) <eos>
alice dislikes eliza <eos>	dislike ( alice , eliza ) <eos>	dislike ( quinn , katherine ) <eos>
alice likes zelda <eos>	like ( alice , zelda ) <eos>	like ( zelda , zelda ) <eos>
alice notices zelda <eos>	notice ( alice , zelda ) <eos>	alice ( tracy , zelda ) <eos>
alice knows isla <eos>	know ( alice , isla ) <eos>	know ( isla , isla ) <eos>
alice throws daniel <eos>	throw ( alice , daniel ) <eos>	alice ( throw , daniel ) <eos>
alice notices winnifred <eos>	notice ( alice , winnifred ) <eos>	notice ( samuel , winnifred ) <eos>
alice meets samuel <eos>	meet ( alice , samuel ) <eos>	alice ( samuel , samuel ) <eos>
alice dislikes claire <eos>	dislike ( alice , claire ) <eos>	dislike ( john , claire ) <eos>
alice dislikes oswald <eos>	dislike ( alice , oswald ) <eos>	dislike ( katherine , oswald ) <eos>
alice dislikes quinn <eos>	dislike ( alice , quinn ) <eos>	dislike ( samuel , quinn ) <eos>
alice notices oswald <eos>	notice ( alice , oswald ) <eos>	alice ( neha , oswald ) <eos>
alice throws quinn <eos>	throw ( alice , quinn ) <eos>	alice ( throw , quinn ) <eos>
alice sees rachael <eos>	see ( alice , rachael ) <eos>	see ( katherine , rachael ) <eos>
alice knows oswald <eos>	know ( alice , oswald ) <eos>	know ( katherine , oswald ) <eos>
alice throws yvette <eos>	throw ( alice , yvettte ) <eos>	alice ( claire , yvettte ) <eos>
alice meets ursula <eos>	meet ( alice , ursula ) <eos>	alice ( tracy , ursula ) <eos>
alice walks <eos>	walk ( alice ) <eos>	alice ( yvettte ) <eos>
alice flies <eos>	fly ( alice ) <eos>	alice ( victor ) <eos>
alice runs <eos>	run ( alice ) <eos>	alice ( samuel , claire ) <eos>
alice eats <eos>	eat ( alice ) <eos>	alice ( samuel ) <eos>
alice dances <eos>	dance ( alice ) <eos>	alice ( throw ) <eos>
alice notices margaret <eos>	notice ( alice , margaret ) <eos>	alice ( katherine , margaret ) <eos>
alice throws oswald <eos>	throw ( alice , oswald ) <eos>	alice ( throw , oswald ) <eos>
alice knows rachael <eos>	know ( alice , rachael ) <eos>	know ( katherine , rachael ) <eos>
alice knows ursula <eos>	know ( alice , ursula ) <eos>	know ( tracy , ursula ) <eos>
alice notices victor <eos>	notice ( alice , victor ) <eos>	alice ( john , victor ) <eos>
alice dislikes daniel <eos>	dislike ( alice , daniel ) <eos>	dislike ( neha , daniel ) <eos>
alice notices eliza <eos>	notice ( alice , eliza ) <eos>	alice ( throw , john ) <eos>
alice knows zelda <eos>	know ( alice , zelda ) <eos>	know ( zelda , zelda ) <eos>
alice throws alice <eos>	throw ( alice , alice ) <eos>	alice ( throw , throw ) <eos>
alice notices henry <eos>	notice ( alice , henry ) <eos>	alice ( john , henry ) <eos>
alice notices john <eos>	notice ( alice , john ) <eos>	alice ( katherine , john ) <eos>
alice knows henry <eos>	know ( alice , henry ) <eos>	alice ( katherine , henry ) <eos>
alice sees patricia <eos>	see ( alice , patricia ) <eos>	see ( john , patricia ) <eos>
alice notices herself <eos>	notice ( alice , alice ) <eos>	alice ( john , winnifred ) <eos>
alice knows tracy <eos>	know ( alice , tracy ) <eos>	alice ( daniel , tracy ) <eos>
alice notices alice <eos>	notice ( alice , alice ) <eos>	alice ( john , henry ) <eos>
alice likes margaret <eos>	like ( alice , margaret ) <eos>	alice ( yvettte , margaret ) <eos>
alice sees yvette <eos>	see ( alice , yvettte ) <eos>	see ( claire , yvettte ) <eos>
alice meets winnifred <eos>	meet ( alice , winnifred ) <eos>	alice ( tracy , winnifred ) <eos>
alice sees eliza <eos>	see ( alice , eliza ) <eos>	see ( eliza , eliza ) <eos>
alice dislikes patricia <eos>	dislike ( alice , patricia ) <eos>	dislike ( victor , patricia ) <eos>
alice knows xerxes <eos>	know ( alice , xerxes ) <eos>	know ( john , xerxes ) <eos>
alice likes herself <eos>	like ( alice , alice ) <eos>	alice ( yvettte , john ) <eos>
alice knows yvette <eos>	know ( alice , yvettte ) <eos>	know ( claire , yvettte ) <eos>
alice meets rachael <eos>	meet ( alice , rachael ) <eos>	meet ( katherine , rachael ) <eos>
alice knows lewis <eos>	know ( alice , lewis ) <eos>	know ( winnifred , lewis ) <eos>
alice knows samuel <eos>	know ( alice , samuel ) <eos>	know ( lewis , samuel ) <eos>
alice likes eliza <eos>	like ( alice , eliza ) <eos>	alice ( eliza , eliza ) <eos>
alice dislikes grace <eos>	dislike ( alice , grace ) <eos>	dislike ( daniel , eliza ) <eos>
alice notices grace <eos>	notice ( alice , grace ) <eos>	alice ( oswald , grace ) <eos>
alice knows bob <eos>	know ( alice , bob ) <eos>	know ( john , bob ) <eos>
alice likes tracy <eos>	like ( alice , tracy ) <eos>	alice ( grace , tracy ) <eos>
alice knows quinn <eos>	know ( alice , quinn ) <eos>	know ( yvettte , quinn ) <eos>
alice notices francis <eos>	notice ( alice , francis ) <eos>	alice ( yvettte , john ) <eos>
alice sees xerxes <eos>	see ( alice , xerxes ) <eos>	see ( xerxes , xerxes ) <eos>
alice meets daniel <eos>	meet ( alice , daniel ) <eos>	alice ( neha , daniel ) <eos>
alice dislikes henry <eos>	dislike ( alice , henry ) <eos>	dislike ( lewis , henry ) <eos>
alice slumbers <eos>	slumber ( alice ) <eos>	alice ( oswald ) <eos>
alice sings <eos>	sing ( alice ) <eos>	sing ( samuel ) <eos>
