source	target	prediction
eliza slumbers <eos>	slumber ( eliza ) <eos>	slumber ( eliza ) <eos>
margaret walks <eos>	walk ( margaret ) <eos>	walk ( margaret ) <eos>
neha walks <eos>	walk ( neha ) <eos>	walk ( neha ) <eos>
alice sleeps <eos>	sleep ( alice ) <eos>	sleep ( alice ) <eos>
katherine sings <eos>	sing ( katherine ) <eos>	sing ( katherine ) <eos>
ursula sees isla <eos>	see ( ursula , isla ) <eos>	see ( ursula , isla ) <eos>
yvette knows samuel <eos>	know ( yvettte , samuel ) <eos>	know ( yvettte , samuel ) <eos>
neha sees patricia <eos>	see ( neha , patricia ) <eos>	see ( neha , patricia ) <eos>
alice knows oswald <eos>	know ( alice , oswald ) <eos>	know ( alice , oswald ) <eos>
tracy knows rachael <eos>	know ( tracy , rachael ) <eos>	know ( tracy , rachael ) <eos>
neha knows claire <eos>	know ( neha , claire ) <eos>	know ( neha , claire ) <eos>
katherine meets oswald <eos>	meet ( katherine , oswald ) <eos>	meet ( katherine , oswald ) <eos>
lewis throws victor <eos>	throw ( lewis , victor ) <eos>	throw ( lewis , victor ) <eos>
bob meets john <eos>	meet ( bob , john ) <eos>	meet ( bob , john ) <eos>
victor dislikes henry <eos>	dislike ( victor , henry ) <eos>	dislike ( victor , henry ) <eos>
samuel meets neha <eos>	meet ( samuel , neha ) <eos>	meet ( samuel , neha ) <eos>
winnifred notices eliza <eos>	notice ( winnifred , eliza ) <eos>	notice ( winnifred , eliza ) <eos>
lewis likes bob <eos>	like ( lewis , bob ) <eos>	like ( lewis , bob ) <eos>
samuel throws margaret <eos>	throw ( samuel , margaret ) <eos>	throw ( samuel , margaret ) <eos>
henry knows yvette <eos>	know ( henry , yvettte ) <eos>	know ( henry , yvettte ) <eos>
yvette throws xerxes <eos>	throw ( yvettte , xerxes ) <eos>	throw ( yvettte , xerxes ) <eos>
zelda throws eliza <eos>	throw ( zelda , eliza ) <eos>	throw ( zelda , eliza ) <eos>
victor likes henry <eos>	like ( victor , henry ) <eos>	like ( victor , henry ) <eos>
quinn notices oswald <eos>	notice ( quinn , oswald ) <eos>	notice ( quinn , oswald ) <eos>
isla notices daniel <eos>	notice ( isla , daniel ) <eos>	notice ( isla , daniel ) <eos>
francis sees patricia <eos>	see ( francis , patricia ) <eos>	see ( francis , patricia ) <eos>
henry throws patricia <eos>	throw ( henry , patricia ) <eos>	throw ( henry , patricia ) <eos>
victor sees neha <eos>	see ( victor , neha ) <eos>	see ( victor , neha ) <eos>
lewis sees victor <eos>	see ( lewis , victor ) <eos>	see ( lewis , victor ) <eos>
patricia knows xerxes <eos>	know ( patricia , xerxes ) <eos>	know ( patricia , xerxes ) <eos>
daniel throws eliza <eos>	throw ( daniel , eliza ) <eos>	throw ( daniel , eliza ) <eos>
john notices bob <eos>	notice ( john , bob ) <eos>	notice ( john , bob ) <eos>
